Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
A.12,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,00:00-02:00,Somewhat sensitive,Moderately important,Most of the time,Rarely,A few times per month,Non-smoker,Sometimes,Quiet & private,Do them when asked,Avoid confrontation,Similar daily routines,Extremely,Not at all compatible,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree
MO51,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,After 02:00,Somewhat sensitive,Very important,Often,Once per week,Rarely,Non-smoker,Rarely,Very social,Do them when asked,Compromise quickly,Similar daily routines,Moderately,Extremely compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree
D.42,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,00:00-02:00,Neutral,Very important,Sometimes,Once per week,Rarely,Non-smoker,Often,Balanced,Do my fair share,Compromise quickly,Respect for boundaries,Extremely,Slightly compatible,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree
B.11,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,After 02:00,Neutral,Very important,Most of the time,Once per week,Several times per week,Smoker,Never,Mostly private,Often take initiative,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
MO.71,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Before 22:00,Somewhat sensitive,Very important,Sometimes,Several times per week,Once per week,Non-smoker,Rarely,Mostly private,Do my fair share,Try to solve problems through discussion,Being social and engaging,Moderately,Very compatible,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree
FR.61,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Extremely important,Often,Several times per week,Never,Non-smoker,Sometimes,Balanced,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Very,Slightly compatible,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree
FR.72,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,00:00-02:00,Somewhat insensitive,Very important,Sometimes,Once per week,Never,Non-smoker,Often,Social & lively,Do my fair share,Compromise quickly,Shared interests / personality fit,Very,Very compatible,Strongly agree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
C.02,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Extremely important,Always,Every day,A few times per month,Non-smoker,Often,Balanced,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Moderately,Very compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
A.26,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,22:00-00:00,Neutral,Very important,Sometimes,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree
D.43,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,22:00-00:00,Somewhat sensitive,Moderately important,Always,Once per week,Rarely,Smoker,Sometimes,Mostly private,Do them when asked,Compromise quickly,Similar daily routines,Very,Extremely compatible,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree
FR.31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,22:00-00:00,Very sensitive,Very important,Always,Never,A few times per month,Non-smoker,Very often,Mostly private,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Extremely,Not at all compatible,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree
A.25,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Very important,Rarely,Rarely,Once per week,Non-smoker,Never,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Not at all,Slightly compatible,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree
CU.22,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Often,Several times per week,A few times per month,Non-smoker,Very often,Social & lively,Do them when asked,Compromise quickly,Not important / flexible,Moderately,Very compatible,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree
TU.51,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,00:00-02:00,Somewhat insensitive,Moderately important,Most of the time,Once per week,A few times per month,Smoker,Often,Mostly private,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Slightly compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree
MO21,Agree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,After 02:00,Neutral,Moderately important,Sometimes,Every day,Several times per week,Non-smoker,Often,Quiet & private,Take responsibility for most,Try to solve problems through discussion,Not important / flexible,Very,Very compatible,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
D.01,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Sometimes,Several times per week,A few times per month,Non-smoker,Often,Mostly private,Do my fair share,Compromise quickly,Similar daily routines,Very,Very compatible,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree
A.63,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Somewhat sensitive,Extremely important,Most of the time,Rarely,Rarely,Non-smoker,Rarely,Social & lively,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Extremely compatible,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
A.15,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,After 02:00,Somewhat sensitive,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Social & lively,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree
CU.21,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Sometimes,Several times per week,Several times per week,Non-smoker,Often,Mostly private,Do them when asked,Try to solve problems through discussion,Not important / flexible,Very,Extremely compatible,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree
A.16,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Always,Never,A few times per month,Non-smoker,Never,Very social,Take responsibility for most,Avoid confrontation,Respect for boundaries,Extremely,Moderately compatible,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
TU.51,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Before 22:00,Neutral,Extremely important,Rarely,Rarely,Rarely,Non-smoker,Rarely,Quiet & private,Do my fair share,Try to solve problems through discussion,Not important / flexible,Extremely,Slightly compatible,Agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
A.26,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,After 02:00,Neutral,Very important,Always,Rarely,Several times per week,Non-smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Very,Moderately compatible,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree
B.53,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Before 22:00,Very insensitive,Extremely important,Often,Rarely,Several times per week,Non-smoker,Rarely,Quiet & private,Do my fair share,Compromise quickly,Reliability in shared spaces,Slightly,Moderately compatible,Strongly disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree
B.21,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,00:00-02:00,Neutral,Very important,Most of the time,Rarely,A few times per month,Non-smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree
E.31,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,22:00-00:00,Somewhat sensitive,Very important,Often,Several times per week,Once per week,Non-smoker,Sometimes,Quiet & private,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree
FR.52,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,After 02:00,Neutral,Very important,Rarely,Once per week,Never,Non-smoker,Sometimes,Balanced,Do them when asked,Try to solve problems through discussion,Being social and engaging,Very,Moderately compatible,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
C.61,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Rarely,Once per week,Rarely,Non-smoker,Often,Balanced,Do them when asked,Compromise quickly,Respect for boundaries,Slightly,Moderately compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
A.13,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Very important,Often,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Extremely compatible,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree
D.23,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,22:00-00:00,Somewhat sensitive,Slightly important,Most of the time,Rarely,Rarely,Non-smoker,Never,Balanced,Do my fair share,Prefer not to say,Reliability in shared spaces,Slightly,Moderately compatible,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree
CU.41,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Often,Once per week,A few times per month,Non-smoker,Sometimes,Social & lively,Often take initiative,Compromise quickly,Reliability in shared spaces,Very,Slightly compatible,Disagree,Strongly agree,Disagree,Agree,Disagree,Neither agree nor disagree
